port,source_file,ramp_rate_psi_s,start_pressure_psia,end_pressure_psia,direction,ramp_offset_mean_psi,ramp_offset_std_psi,ramp_samples,ramp_duration_s
port_a,ramp_port_a_r0_15to20_20260203_132824.csv,0.1,15.0,19.165,up,0.4903544314937068,0.010260581231126475,2404,40.03157360001933
port_a,ramp_port_a_r0_15to20_20260203_132900.csv,0.2,14.98,19.32,up,0.49391598297197753,0.011282551109408397,1201,19.99438970000483
port_a,ramp_port_a_r0_15to20_20260203_132924.csv,0.5,14.98,19.75,up,0.500663800151643,0.015213409691504186,461,8.007566099986434
port_a,ramp_port_a_r10_50to100_20260203_135841.csv,10.0,50.0,100.0,up,0.7673143748796412,0.19400473081542688,303,4.857664099952672
port_a,ramp_port_a_r2_15to35_20260203_133231.csv,2.0,14.97,34.44,up,0.5369398581498378,0.040955051151229625,592,9.492064599995501
port_a,ramp_port_a_r2_15to50_20260203_133007.csv,2.0,14.98,38.55,up,0.45677361604897826,0.08108835414632112,1707,27.432659599988256
port_a,ramp_port_a_r2_15to50_20260203_135759.csv,2.0,14.99,50.0,up,0.5181433573330956,0.04168622133918391,1044,16.97863829997368
port_a,ramp_port_a_r5_15to35_20260203_133300.csv,5.0,14.97,33.69,up,0.44930398740702204,0.12415551833035948,864,13.90256610000506
port_a,ramp_port_a_r5_15to50_20260203_133041.csv,5.0,14.97,37.5,up,0.4528392937287434,0.1236364478761824,1054,16.916349500010256
port_a,ramp_port_a_r5_15to50_20260203_135822.csv,5.0,14.98,50.0,up,0.6139529601403323,0.09898225944025488,422,6.766791499976534
port_a,ramp_port_a_r5_40to15_20260203_135903.csv,5.0,39.98,14.92,down,0.28069663275480294,0.10208055265996425,300,4.809171499975491
port_b,ramp_port_b_r0_15to20_20260203_133841.csv,0.1,15.0,19.15,up,-0.08117027412747287,0.016338368948606827,2313,40.002061099978164
port_b,ramp_port_b_r0_15to20_20260203_133920.csv,0.2,14.99,19.3,up,-0.07775015105476134,0.01658020152624083,1243,20.019915600016247
port_b,ramp_port_b_r0_15to20_20260203_133944.csv,0.5,14.99,19.755,up,-0.0696168739004295,0.018776388021473224,476,7.997392800054513
port_b,ramp_port_b_r2_15to35_20260203_134019.csv,2.0,14.99,27.21,up,-0.07388560941442852,0.04235412125385227,1216,19.92181949998485
port_b,ramp_port_b_r2_15to35_20260203_135928.csv,2.0,14.99,34.99,up,-0.027262378809609914,0.04988274901037766,589,9.49878040002659
port_b,ramp_port_b_r5_15to27_20260203_134041.csv,5.0,14.99,26.99,up,0.07188230835949933,0.09706856906006808,135,2.180850900011137
port_b,ramp_port_b_r5_15to50_20260203_135950.csv,5.0,14.99,50.0,up,0.062313034311290205,0.1202291194019787,422,6.805616500030737
port_b,ramp_port_b_r5_40to15_20260203_140010.csv,5.0,39.98,14.985,down,-0.2580228531316802,0.10026201633752918,272,4.7597615999984555
