timestamp,transducer_voltage,transducer_pressure,transducer_pressure_raw,alicat_pressure_psia,alicat_setpoint_psia,alicat_baro_psia,alicat_gauge_psig,offset_psi
1770151958.8137949,0.9751737117767334,13.661244213581085,13.661244213581085,13.75,27.0,13.746,0.0039999999999995595,-0.0887557864189148
1770151958.856752,0.9741257429122925,13.631115108728409,13.631115108728409,13.75,27.0,13.746,0.0039999999999995595,-0.11888489127159119
1770151958.89046,0.9747675657272339,13.649567514657974,13.649567514657974,13.75,27.0,13.746,0.0039999999999995595,-0.10043248534202576
1770151958.9225676,0.9757056832313538,13.67653839290142,13.67653839290142,13.75,27.0,13.746,0.0039999999999995595,-0.0734616070985794
1770151958.9543693,0.9751872420310974,13.66163320839405,13.66163320839405,13.75,27.0,13.746,0.0039999999999995595,-0.0883667916059494
1770151958.9862149,0.9750366806983948,13.65730457007885,13.65730457007885,13.75,27.0,13.746,0.0039999999999995595,-0.09269542992115021
1770151959.0175924,0.9759821891784668,13.68448793888092,13.68448793888092,13.75,27.0,13.746,0.0039999999999995595,-0.06551206111907959
1770151959.0502684,0.9751811027526855,13.66145670413971,13.66145670413971,13.75,27.0,13.746,0.0039999999999995595,-0.08854329586029053
1770151959.0818334,0.9750490188598633,13.65765929222107,13.65765929222107,13.75,27.0,13.746,0.0039999999999995595,-0.09234070777893066
1770151959.1146624,0.9758673906326294,13.681187480688095,13.681187480688095,13.75,27.0,13.746,0.0039999999999995595,-0.06881251931190491
1770151959.1450343,0.9760957360267639,13.687752410769463,13.687752410769463,13.75,27.0,13.746,0.0039999999999995595,-0.062247589230537415
1770151959.1773582,0.9751774072647095,13.661350458860397,13.661350458860397,13.75,27.0,13.746,0.0039999999999995595,-0.08864954113960266
1770151959.2093174,0.9759809374809265,13.684451952576637,13.684451952576637,13.75,27.0,13.746,0.0039999999999995595,-0.06554804742336273
1770151959.2410643,0.9762611389160156,13.69250774383545,13.69250774383545,13.75,27.0,13.746,0.0039999999999995595,-0.05749225616455078
1770151959.2736475,0.9751403331756592,13.660284578800201,13.660284578800201,13.75,27.0,13.746,0.0039999999999995595,-0.08971542119979858
1770151959.3050997,0.9758784770965576,13.681506216526031,13.681506216526031,13.75,27.0,13.746,0.0039999999999995595,-0.0684937834739685
1770151959.3374286,0.9754526615142822,13.669264018535614,13.669264018535614,13.75,27.0,13.746,0.0039999999999995595,-0.08073598146438599
1770151959.3701794,0.9751724600791931,13.661208227276802,13.661208227276802,13.75,27.0,13.746,0.0039999999999995595,-0.08879177272319794
1770151959.4018934,0.9759179949760437,13.682642355561256,13.682642355561256,13.75,27.0,13.746,0.0039999999999995595,-0.06735764443874359
1770151959.4345644,0.9757031798362732,13.676466420292854,13.676466420292854,13.75,27.0,13.746,0.0039999999999995595,-0.07353357970714569
1770151959.4655335,0.9748935103416443,13.653188422322273,13.653188422322273,13.75,27.0,13.746,0.0039999999999995595,-0.09681157767772675
1770151959.4979763,0.9754785299301147,13.670007735490799,13.670007735490799,13.75,27.0,13.746,0.0039999999999995595,-0.07999226450920105
1770151959.5295732,0.9760006666183472,13.685019165277481,13.685019165277481,13.75,27.0,13.746,0.0039999999999995595,-0.06498083472251892
1770151959.5615618,0.9753476977348328,13.666246309876442,13.666246309876442,13.75,27.0,13.746,0.0039999999999995595,-0.08375369012355804
1770151959.5933068,0.9751774072647095,13.661350458860397,13.661350458860397,13.75,27.0,13.746,0.0039999999999995595,-0.08864954113960266
1770151959.6253364,0.9755476713180542,13.671995550394058,13.671995550394058,13.75,27.0,13.746,0.0039999999999995595,-0.07800444960594177
1770151959.6568627,0.9751366376876831,13.66017833352089,13.66017833352089,13.75,27.0,13.746,0.0039999999999995595,-0.08982166647911072
1770151959.6886282,0.9754810333251953,13.670079708099365,13.670079708099365,13.75,27.0,13.746,0.0039999999999995595,-0.07992029190063477
1770151959.720939,0.9758179783821106,13.67976687848568,13.67976687848568,13.75,27.0,13.746,0.0039999999999995595,-0.07023312151432037
1770151959.7528715,0.9742627739906311,13.635054752230644,13.635054752230644,13.75,27.0,13.746,0.0039999999999995595,-0.11494524776935577
1770151959.784966,0.9749798774719238,13.65567147731781,13.65567147731781,13.75,27.0,13.746,0.0039999999999995595,-0.09432852268218994
1770151959.8170397,0.9761043787002563,13.68800088763237,13.68800088763237,13.75,27.0,13.746,0.0039999999999995595,-0.061999112367630005
1770151959.8487952,0.975968599319458,13.684097230434418,13.684097230434418,13.75,27.0,13.746,0.0039999999999995595,-0.06590276956558228
1770151959.8810363,0.9757809638977051,13.678702712059021,13.678702712059021,13.75,27.0,13.746,0.0039999999999995595,-0.071297287940979
1770151959.913355,0.9755735993385315,13.67274098098278,13.67274098098278,13.75,27.0,13.746,0.0039999999999995595,-0.07725901901721954
1770151959.9451776,0.9765943884849548,13.702088668942451,13.702088668942451,13.75,27.0,13.746,0.0039999999999995595,-0.04791133105754852
1770151959.9765716,0.9751860499382019,13.661598935723305,13.661598935723305,13.75,27.0,13.746,0.0039999999999995595,-0.08840106427669525
1770151960.0086446,0.9760944843292236,13.68771642446518,13.68771642446518,13.75,27.0,13.746,0.0039999999999995595,-0.06228357553482056
1770151960.0408735,0.9757661819458008,13.678277730941772,13.678277730941772,13.75,27.0,13.746,0.0039999999999995595,-0.07172226905822754
1770151960.0730293,0.975525438785553,13.671356365084648,13.671356365084648,13.75,27.0,13.746,0.0039999999999995595,-0.07864363491535187
1770151960.1047235,0.9760093092918396,13.685267642140388,13.685267642140388,13.75,27.0,13.746,0.0039999999999995595,-0.06473235785961151
1770151960.1361055,0.9763660430908203,13.695523738861084,13.695523738861084,13.75,27.0,13.746,0.0039999999999995595,-0.054476261138916016
1770151960.1689413,0.975288450717926,13.664542958140373,13.664542958140373,13.75,27.0,13.746,0.0039999999999995595,-0.08545704185962677
1770151960.200968,0.9748725295066833,13.652585223317146,13.652585223317146,13.75,27.0,13.746,0.0039999999999995595,-0.0974147766828537
1770151960.232991,0.9763178825378418,13.694139122962952,13.694139122962952,13.75,27.0,13.746,0.0039999999999995595,-0.05586087703704834
1770151960.2641344,0.9746317863464355,13.645663857460022,13.645663857460022,13.75,27.0,13.746,0.0039999999999995595,-0.10433614253997803
1770151960.2960234,0.9756414890289307,13.674692809581757,13.674692809581757,13.75,27.0,13.746,0.0039999999999995595,-0.07530719041824341
1770151960.3283212,0.9756180644035339,13.6740193516016,13.6740193516016,13.75,27.0,13.746,0.0039999999999995595,-0.07598064839839935
1770151960.3603396,0.9754155874252319,13.668198138475418,13.668198138475418,13.75,27.0,13.746,0.0039999999999995595,-0.08180186152458191
1770151960.3921251,0.9747688174247742,13.649603500962257,13.649603500962257,13.75,27.0,13.746,0.0039999999999995595,-0.10039649903774261
1770151960.4240994,0.9762475490570068,13.692117035388947,13.692117035388947,13.75,27.0,13.746,0.0039999999999995595,-0.05788296461105347
1770151960.4556336,0.9751465320587158,13.66046279668808,13.66046279668808,13.75,27.0,13.746,0.0039999999999995595,-0.08953720331192017
1770151960.4877095,0.9752576351165771,13.663657009601593,13.663657009601593,13.75,27.0,13.746,0.0039999999999995595,-0.08634299039840698
1770151960.520242,0.9757340550422668,13.677354082465172,13.677354082465172,13.75,27.0,13.746,0.0039999999999995595,-0.07264591753482819
1770151960.5519583,0.9755427241325378,13.671853318810463,13.671853318810463,13.75,27.0,13.746,0.0039999999999995595,-0.07814668118953705
