timestamp,transducer_voltage,transducer_pressure_psi,transducer_pressure_torr,alicat_pressure_raw,alicat_units,alicat_setpoint,alicat_gauge,alicat_baro,offset_torr
452495.5865947,0.9921221137046814,14.14851076900959,731.690234419331,13.75,PSI,13.75,0.0,13.75,20.60898441933091
452495.6156771,0.9916543364524841,14.135062173008919,730.9947402771563,13.75,PSI,13.75,0.0,13.75,19.913490277156257
452495.6361815,0.9917469024658203,14.137723445892334,731.1323680043221,13.75,PSI,13.75,0.0,13.75,20.051118004322007
452495.6563728,0.9918678402900696,14.1412004083395,731.3121791172773,13.75,PSI,13.75,0.0,13.75,20.230929117277242
452495.6767167,0.9920949935913086,14.147731065750122,731.6499120652676,13.75,PSI,13.75,0.0,13.75,20.568662065267517
452495.6971015,0.9916185140609741,14.134032279253006,730.9414793215692,13.75,PSI,13.75,0.0,13.75,19.860229321569136
452495.7269957,0.9920011758804321,14.145033806562424,731.5104233063757,13.75,PSI,13.75,0.0,13.75,20.429173306375674
452495.7473599,0.991802453994751,14.13932055234909,731.2149623647333,13.75,PSI,13.75,0.0,13.75,20.133712364733242
452495.7673999,0.9916691184043884,14.135487154126167,731.0167181756348,13.75,PSI,13.75,0.0,13.75,19.935468175634696
452495.7881018,0.9925960898399353,14.16213758289814,732.3949450995774,13.75,PSI,13.75,0.0,13.75,21.31369509957733
452495.8081076,0.9918863773345947,14.141733348369598,731.3397401109338,13.75,PSI,13.75,0.0,13.75,20.258490110933735
452495.8393616,0.9915925860404968,14.133286848664284,730.9029293786734,13.75,PSI,13.75,0.0,13.75,19.821679378673366
452495.8596986,0.9919184446334839,14.142655283212662,731.3874179713429,13.75,PSI,13.75,0.0,13.75,20.306167971342802
452495.8801544,0.9921320080757141,14.14879523217678,731.7049454320222,13.75,PSI,13.75,0.0,13.75,20.623695432022146
452495.9006101,0.9917395114898682,14.13751095533371,731.1213790550828,13.75,PSI,13.75,0.0,13.75,20.04012905508273
452495.9207152,0.9919739961624146,14.144252389669418,731.470012331754,13.75,PSI,13.75,0.0,13.75,20.388762331753924
452495.9511018,0.9915543794631958,14.13218840956688,730.8461236007512,13.75,PSI,13.75,0.0,13.75,19.764873600751116
452495.9714069,0.9919629096984863,14.143933653831482,731.4535289078951,13.75,PSI,13.75,0.0,13.75,20.372278907895065
452495.9916135,0.9927862286567688,14.167604073882103,732.677644680813,13.75,PSI,13.75,0.0,13.75,21.596394680812978
452496.0118168,0.9917370080947876,14.137438982725143,731.1176569916308,13.75,PSI,13.75,0.0,13.75,20.03640699163077
452496.0323155,0.991182804107666,14.121505618095398,730.2936630398035,13.75,PSI,13.75,0.0,13.75,19.212413039803437
452496.0629191,0.9915395379066467,14.131761714816093,730.8240570817143,13.75,PSI,13.75,0.0,13.75,19.742807081714204
452496.0832536,0.9921048283576965,14.148013815283775,731.6645344574005,13.75,PSI,13.75,0.0,13.75,20.583284457400396
452496.1033197,0.9920468330383301,14.14634644985199,731.5783066540957,13.75,PSI,13.75,0.0,13.75,20.497056654095672
452496.1236855,0.9919184446334839,14.142655283212662,731.3874179713429,13.75,PSI,13.75,0.0,13.75,20.306167971342802
452496.1442068,0.9918789863586426,14.141520857810974,731.3287511616945,13.75,PSI,13.75,0.0,13.75,20.24750116169446
452496.174611,0.9917839169502258,14.138787612318993,731.1874013710767,13.75,PSI,13.75,0.0,13.75,20.106151371076635
452496.1948802,0.9916444420814514,14.134777709841728,730.980029264465,13.75,PSI,13.75,0.0,13.75,19.898779264464906
452496.2153496,0.9913901686668396,14.127467349171638,730.6019739624113,13.75,PSI,13.75,0.0,13.75,19.52072396241124
452496.2358569,0.9917555451393127,14.137971922755241,731.1452179852873,13.75,PSI,13.75,0.0,13.75,20.063967985287263
452496.2563729,0.991770327091217,14.13839690387249,731.1671958837659,13.75,PSI,13.75,0.0,13.75,20.085945883765817
452496.2864872,0.9920197129249573,14.145566746592522,731.5379843000323,13.75,PSI,13.75,0.0,13.75,20.45673430003228
452496.3070046,0.9919468760490417,14.14347268640995,731.4296899776906,13.75,PSI,13.75,0.0,13.75,20.348439977690532
452496.327505,0.9918987154960632,14.142088070511818,731.3580845665188,13.75,PSI,13.75,0.0,13.75,20.276834566518687
452496.3478906,0.9917308688163757,14.137262478470802,731.1085290741175,13.75,PSI,13.75,0.0,13.75,20.027279074117473
452496.3681174,0.9918357729911804,14.140278473496437,731.2645012568682,13.75,PSI,13.75,0.0,13.75,20.183251256868175
452496.3987363,0.9916839599609375,14.135913848876953,731.0387846946717,13.75,PSI,13.75,0.0,13.75,19.957534694671608
452496.4189285,0.9920468330383301,14.14634644985199,731.5783066540957,13.75,PSI,13.75,0.0,13.75,20.497056654095672
452496.4392524,0.9912939071655273,14.124699831008911,730.4588517606259,13.75,PSI,13.75,0.0,13.75,19.377601760625794
452496.4599287,0.9918234348297119,14.139923751354218,731.2461568012834,13.75,PSI,13.75,0.0,13.75,20.164906801283337
452496.4805437,0.9922603964805603,14.152486398816109,731.8958341147751,13.75,PSI,13.75,0.0,13.75,20.814584114775016
452496.5102149,0.9919875860214233,14.144643098115921,731.4902178190649,13.75,PSI,13.75,0.0,13.75,20.408967819064856
452496.53076,0.9921455979347229,14.149185940623283,731.7251509193331,13.75,PSI,13.75,0.0,13.75,20.643900919333078
452496.5509169,0.9912828207015991,14.124381095170975,730.442368336767,13.75,PSI,13.75,0.0,13.75,19.361118336766935
452496.5711907,0.9917222261428833,14.137014001607895,731.0956790931523,13.75,PSI,13.75,0.0,13.75,20.014429093152216
452496.5915269,0.9920604228973389,14.146737158298492,731.5985121414066,13.75,PSI,13.75,0.0,13.75,20.51726214140649
452496.6226411,0.9920850992202759,14.147446602582932,731.6352010525763,13.75,PSI,13.75,0.0,13.75,20.55395105257628
452496.6426885,0.9918333292007446,14.140208214521408,731.2608678139746,13.75,PSI,13.75,0.0,13.75,20.179617813974573
452496.6630049,0.9916481375694275,14.13488395512104,730.9855237390847,13.75,PSI,13.75,0.0,13.75,19.9042737390846
452496.6830113,0.9920455813407898,14.146310463547707,731.5764456223696,13.75,PSI,13.75,0.0,13.75,20.49519562236958
452496.7033206,0.9916852116584778,14.135949835181236,731.0406457263977,13.75,PSI,13.75,0.0,13.75,19.959395726397588
452496.7339732,0.9911223649978638,14.119767993688583,730.2038017936052,13.75,PSI,13.75,0.0,13.75,19.122551793605112
452496.7539817,0.991635799407959,14.13452923297882,730.9671792834997,13.75,PSI,13.75,0.0,13.75,19.88592928349965
452496.774372,0.9911445379257202,14.120405465364456,730.2367686413229,13.75,PSI,13.75,0.0,13.75,19.15551864132283
452496.7945953,0.991753101348877,14.137901663780212,731.1415845423937,13.75,PSI,13.75,0.0,13.75,20.06033454239366
452496.8146755,0.9912914633750916,14.124629572033882,730.4552183177323,13.75,PSI,13.75,0.0,13.75,19.373968317732192
452496.8456507,0.9913259744644165,14.125621765851974,730.5065296210349,13.75,PSI,13.75,0.0,13.75,19.42527962103486
452496.8662159,0.9915370941162109,14.131691455841064,730.8204236388207,13.75,PSI,13.75,0.0,13.75,19.739173638820603
452496.8864352,0.9921863079071045,14.150356352329254,731.7856787607075,13.75,PSI,13.75,0.0,13.75,20.7044287607074
452496.906807,0.9915629625320435,14.13243517279625,730.8588849611581,13.75,PSI,13.75,0.0,13.75,19.777634961158014
452496.9270476,0.991741955280304,14.137581214308739,731.1250124979765,13.75,PSI,13.75,0.0,13.75,20.043762497976445
452496.9575098,0.9914716482162476,14.129809886217117,730.7231182657183,13.75,PSI,13.75,0.0,13.75,19.641868265718244
452496.9779507,0.9921147227287292,14.148298278450966,731.6792454700917,13.75,PSI,13.75,0.0,13.75,20.597995470091632
452496.9981565,0.9923220872879028,14.154260009527206,731.9875563926995,13.75,PSI,13.75,0.0,13.75,20.906306392699435
452497.0183395,0.99222332239151,14.151420518755913,731.8407121274621,13.75,PSI,13.75,0.0,13.75,20.75946212746203
452497.0386433,0.9911853075027466,14.121577590703964,730.2973851032556,13.75,PSI,13.75,0.0,13.75,19.21613510325551
452497.0694623,0.9913420677185059,14.126084446907043,730.5304571717978,13.75,PSI,13.75,0.0,13.75,19.449207171797752
452497.0897866,0.9920197129249573,14.145566746592522,731.5379843000323,13.75,PSI,13.75,0.0,13.75,20.45673430003228
452497.1098543,0.9914692044258118,14.129739627242088,730.7194848228246,13.75,PSI,13.75,0.0,13.75,19.63823482282453
452497.1299547,0.991051971912384,14.117744192481041,730.099140914157,13.75,PSI,13.75,0.0,13.75,19.017890914156965
452497.149985,0.9916210174560547,14.134104251861572,730.9452013850213,13.75,PSI,13.75,0.0,13.75,19.86395138502121
452497.181304,0.9924097061157227,14.156779050827026,732.1178286135197,13.75,PSI,13.75,0.0,13.75,21.036578613519623
452497.2013237,0.9916950464248657,14.13623258471489,731.0552681185305,13.75,PSI,13.75,0.0,13.75,19.974018118530466
452497.2214694,0.9922023415565491,14.150817319750786,731.8095176909119,13.75,PSI,13.75,0.0,13.75,20.72826769091182
452497.2419856,0.9917579889297485,14.13804218173027,731.1488514281809,13.75,PSI,13.75,0.0,13.75,20.067601428180865
452497.2622981,0.9916234612464905,14.134174510836601,730.9488348279149,13.75,PSI,13.75,0.0,13.75,19.86758482791481
452497.2934702,0.9922529458999634,14.152272194623947,731.8847565449774,13.75,PSI,13.75,0.0,13.75,20.80350654497738
452497.3137682,0.9920542240142822,14.146558940410614,731.5892956033349,13.75,PSI,13.75,0.0,13.75,20.508045603334836
452497.3340136,0.9916864037513733,14.135984107851982,731.0424181375653,13.75,PSI,13.75,0.0,13.75,19.96116813756521
452497.3544274,0.9920344948768616,14.14599172770977,731.5599621985108,13.75,PSI,13.75,0.0,13.75,20.47871219851072
452497.3749561,0.9919049143791199,14.142266288399696,731.3673011045903,13.75,PSI,13.75,0.0,13.75,20.28605110459023
452497.4052832,0.9918653964996338,14.141130149364471,731.3085456743837,13.75,PSI,13.75,0.0,13.75,20.22729567438364
452497.4253718,0.9925380945205688,14.160470217466354,732.3087172962726,13.75,PSI,13.75,0.0,13.75,21.227467296272494
452497.445553,0.9919604659080505,14.143863394856453,731.4498954650015,13.75,PSI,13.75,0.0,13.75,20.368645465001464
452497.4655657,0.9919196963310242,14.142691269516945,731.3892790030689,13.75,PSI,13.75,0.0,13.75,20.308029003068782
452497.4857711,0.9918197393417358,14.139817506074905,731.2406623266638,13.75,PSI,13.75,0.0,13.75,20.159412326663755
452497.5177652,0.9919270873069763,14.14290376007557,731.4002679523081,13.75,PSI,13.75,0.0,13.75,20.31901795230806
452497.5378439,0.9916098713874817,14.133783802390099,730.928629340604,13.75,PSI,13.75,0.0,13.75,19.84737934060388
452497.5582695,0.9920048713684082,14.145140051841736,731.5159177809954,13.75,PSI,13.75,0.0,13.75,20.43466778099537
452497.5787002,0.9921715259552002,14.149931371212006,731.7637008622289,13.75,PSI,13.75,0.0,13.75,20.682450862228848
452497.599204,0.99247145652771,14.158554375171661,732.2096395120025,13.75,PSI,13.75,0.0,13.75,21.1283895120024
452497.6294108,0.9911347031593323,14.120122715830803,730.22214624919,13.75,PSI,13.75,0.0,13.75,19.14089624918995
452497.6495924,0.9913173317909241,14.125373288989067,730.4936796400697,13.75,PSI,13.75,0.0,13.75,19.412429640069604
452497.6697426,0.9913309216499329,14.12576399743557,730.5138851273805,13.75,PSI,13.75,0.0,13.75,19.432635127380422
452497.6901087,0.9921888113021851,14.15042832493782,731.7894008241594,13.75,PSI,13.75,0.0,13.75,20.70815082415936
452497.7103372,0.9917135834693909,14.136765524744987,731.082829112187,13.75,PSI,13.75,0.0,13.75,20.00157911218696
452497.7407311,0.9913321733474731,14.125799983739853,730.5157461591066,13.75,PSI,13.75,0.0,13.75,19.434496159106516
452497.7612237,0.9914913773536682,14.130377098917961,730.7524516705424,13.75,PSI,13.75,0.0,13.75,19.67120167054236
452497.7815712,0.9918085932731628,14.139497056603432,731.2240902822465,13.75,PSI,13.75,0.0,13.75,20.142840282246425
452497.8020337,0.9918407201766968,14.140420705080032,731.2718567632139,13.75,PSI,13.75,0.0,13.75,20.19060676321385
452497.8225085,0.9918913245201111,14.141875579953194,731.3470956172795,13.75,PSI,13.75,0.0,13.75,20.26584561727941
452497.8532744,0.9918567538261414,14.140881672501564,731.2956956934185,13.75,PSI,13.75,0.0,13.75,20.214445693418384
452497.8736663,0.9917024970054626,14.136446788907051,731.0663456883282,13.75,PSI,13.75,0.0,13.75,19.9850956883281
452497.8941175,0.9920147657394409,14.145424515008926,731.5306287936867,13.75,PSI,13.75,0.0,13.75,20.449378793686606
