Cycle and Precision Test Results
Part ID,15018
Sequence ID,399
Port ID,port_a
Timestamp,2026-02-06T15:13:51.217270
Total Duration (s),3.78
Success,No
Error,Failed to connect Port A hardware

Cycling Phase
Cycle,Activation Estimate (PSI),Deactivation Estimate (PSI),Duration (s)

Baseline Precision Phase
Baseline Activation (PSI),N/A
Baseline Deactivation (PSI),N/A
Baseline Duration (s),0.00

Optimized Precision Phase
Optimized Activation (PSI),N/A
Optimized Deactivation (PSI),N/A
Optimized Duration (s),0.00

Accuracy Verification
Activation Delta (PSI),N/A
Deactivation Delta (PSI),N/A
Accuracy Threshold (PSI),0.1
Accuracy Pass,No
