time,phase,voltage,trans_psi,alicat_psi,DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,DIO9,DIO10,DIO11,DIO12,DIO13,DIO14,DIO15,DIO16,DIO17,DIO18,DIO19
1770328982.7374003,start,1.0243934392929077,14.693311379671098,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328982.9590683,sweep,1.0235713720321655,14.66967694592476,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328982.9863276,sweep,1.0286160707473755,14.814712033987046,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.0117195,sweep,1.029403567314148,14.837352560281754,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.0373664,sweep,1.031080961227417,14.88557763528824,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.062853,sweep,1.0341334342956543,14.973336236000062,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.088058,sweep,1.036203384399414,15.032847301483155,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.1131048,sweep,1.0375044345855713,15.070252494335175,14.69,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.16802,sweep,1.0423083305358887,15.2083645029068,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.193039,sweep,1.0437525510787964,15.249885843515397,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.2182493,sweep,1.0459076166152954,15.311843977689744,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.2434354,sweep,1.0469753742218018,15.342542008876801,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.269792,sweep,1.0496834516525269,15.420399235010148,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.2947354,sweep,1.051892876625061,15.483920202970506,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.3199315,sweep,1.053060531616211,15.517490283966065,15.14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.3748438,sweep,1.0571264028549194,15.634384082078935,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.400568,sweep,1.0593247413635254,15.697586314201356,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.4275887,sweep,1.0606417655944824,15.73545076084137,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.465766,sweep,1.0634844303131104,15.817177371501923,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.5106516,sweep,1.0667368173599243,15.910683499097825,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.5477824,sweep,1.0686746835708618,15.966397152662278,15.58,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.605648,sweep,1.0734946727752686,16.104971842288972,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.6314924,sweep,1.0752586126327515,16.155685113191605,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.656622,sweep,1.077391505241394,16.21700577569008,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.684586,sweep,1.078947901725769,16.26175217461586,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.7108562,sweep,1.08121657371521,16.326976494312287,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.7384,sweep,1.0828607082366943,16.374245361804963,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.7650747,sweep,1.0845468044281006,16.422720627307893,16.05,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.8241987,sweep,1.0887595415115356,16.54383681845665,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.8496852,sweep,1.090743064880371,16.60086311531067,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.8757517,sweep,1.0925045013427734,16.651504413604737,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.904606,sweep,1.0943942070007324,16.705833451271058,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.9300256,sweep,1.0959692001342773,16.751114503860475,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.9550805,sweep,1.0985205173492432,16.824464873790742,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328983.9810715,sweep,1.0998709201812744,16.86328895521164,16.49,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.030623,sweep,1.1032739877700806,16.961127148389817,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.0554905,sweep,1.1046464443206787,17.000585274219514,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.0825138,sweep,1.106934905052185,17.06637852025032,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.1084166,sweep,1.108896255493164,17.122767345428468,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.1344757,sweep,1.1105083227157593,17.16911427807808,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.174154,sweep,1.1128844022750854,17.237426565408708,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.2092118,sweep,1.1159355640411377,17.32514746618271,16.92,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.272196,sweep,1.1203075647354126,17.450842486143113,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.2987876,sweep,1.1223922967910767,17.510778532743455,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.325718,sweep,1.124394416809082,17.56833948326111,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.3519783,sweep,1.1259657144546509,17.613514290571214,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.3776903,sweep,1.1277060508728027,17.66354896259308,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.404452,sweep,1.1290502548217773,17.7021948261261,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.4305274,sweep,1.1315522193908691,17.77412630748749,17.39,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1770328984.479062,sweep,1.1344084739685059,17.856243626594544,17.82,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
