time,phase,voltage,trans_psi,alicat_psi,DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,DIO9,DIO10,DIO11,DIO12,DIO13,DIO14,DIO15,DIO16,DIO17,DIO18,DIO19
1770329080.0232046,start,1.0085065364837646,14.709562923908234,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.2475533,sweep,1.0069808959960938,14.665700759887695,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.2722502,sweep,1.0069129467010498,14.663747217655182,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.297292,sweep,1.005920648574829,14.635218646526337,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.3221984,sweep,1.0039962530136108,14.579892274141312,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.3472726,sweep,1.0033001899719238,14.55988046169281,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.3720706,sweep,1.0029311180114746,14.549269642829895,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.3973866,sweep,1.001207947731018,14.49972849726677,14.7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.454594,sweep,1.0003340244293213,14.474603202342987,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.4801414,sweep,0.9985504746437073,14.423326146006584,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.5052848,sweep,0.9965027570724487,14.3644542658329,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.5303597,sweep,0.9958633780479431,14.346072118878364,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.5556755,sweep,0.9957942366600037,14.344084303975105,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.5816097,sweep,0.9960547089576721,14.351572882533073,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.6072617,sweep,0.9934008717536926,14.275275062918663,14.48,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.6625571,sweep,0.9923936724662781,14.246318083405495,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.6876698,sweep,0.9910433292388916,14.207495715618133,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.7153664,sweep,0.9897892475128174,14.1714408659935,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.7404022,sweep,0.9885339736938477,14.13535174369812,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.7660651,sweep,0.9890671968460083,14.150681909322739,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.7909982,sweep,0.9873120188713074,14.100220542550087,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.8158247,sweep,0.985823392868042,14.057422544956207,14.26,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.8704193,sweep,0.9849519729614258,14.032369222640991,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.895436,sweep,0.9839460253715515,14.003448229432106,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.9200747,sweep,0.9822253584861755,13.953979056477547,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.9453409,sweep,0.9813465476036072,13.928713243603706,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329080.9725015,sweep,0.9810700416564941,13.920763697624206,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.0010774,sweep,0.9801245331764221,13.893580328822136,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.0264764,sweep,0.9784335494041443,13.844964545369148,14.04,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.078753,sweep,0.9770411849021912,13.804934065937996,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.1037996,sweep,0.975822925567627,13.769909110069275,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.1289542,sweep,0.9755476713180542,13.761995550394058,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.153858,sweep,0.9742318987846375,13.724167090058327,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.1786478,sweep,0.9744293689727783,13.729844357967377,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.2038517,sweep,0.9724692702293396,13.673491519093513,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.2291043,sweep,0.9722113013267517,13.666074913144111,13.83,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.2857652,sweep,0.9704104661941528,13.614300903081894,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3107946,sweep,0.968970000743866,13.572887521386146,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3359814,sweep,0.9673382043838501,13.52597337603569,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3616073,sweep,0.9675554633140564,13.532219570279121,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3866725,sweep,0.9664877653121948,13.501523252725601,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4131525,sweep,0.9657471776008606,13.480231356024742,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4434073,sweep,0.9645153284072876,13.444815691709518,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4951668,sweep,0.9621281623840332,13.376184668540954,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5200186,sweep,0.9614652991294861,13.357127349972725,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5450327,sweep,0.960576593875885,13.331577073931694,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5699217,sweep,0.9604470133781433,13.32785163462162,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5989318,sweep,0.9593509435653687,13.296339627504349,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.6243584,sweep,0.9579870104789734,13.257126551270485,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.6509752,sweep,0.957146406173706,13.232959177494049,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7020462,sweep,0.9559528231620789,13.198643665909767,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7272284,sweep,0.9542458057403564,13.149566915035248,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7520847,sweep,0.9536693692207336,13.132994365096092,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.77724,sweep,0.9531139135360718,13.117025014162063,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.8023803,sweep,0.9517672657966614,13.078308891654014,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.8275213,sweep,0.9508625268936157,13.052297648191452,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.853105,sweep,0.9499849081039429,13.027066107988357,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.909478,sweep,0.9470533728599548,12.942784469723701,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9347792,sweep,0.9468657970428467,12.937391664981842,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9601686,sweep,0.9472434520721436,12.948249247074127,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9855096,sweep,0.9464312791824341,12.92489927649498,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.012348,sweep,0.944013237953186,12.855380591154098,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
