Ramp Rate (PSI/s),Elapsed Time (s),Transducer Voltage (V),Transducer Pressure (PSI),Alicat Pressure (PSIA),Alicat Gauge (PSIG),Alicat Barometric (PSIA),Alicat Setpoint (PSIA),Offset Gauge (Transducer - AlicatGauge),Offset Absolute (Transducer - AlicatAbs)
2.0,0.25153398513793945,4.714858531951904,121.17718279361725,12.99,-0.4710000000000001,13.461,14.03,121.64818279361725,108.18718279361725
2.0,0.5108139514923096,4.72318172454834,121.27289950847626,13.0,-0.4610000000000003,13.461,14.55,121.73389950847626,108.27289950847626
2.0,0.762836217880249,4.7239580154418945,121.33925688266754,13.01,-0.4510000000000005,13.461,15.06,121.79025688266753,108.32925688266754
2.0,1.0200834274291992,4.719905853271484,121.3324714422226,13.02,-0.4410000000000007,13.461,15.57,121.7734714422226,108.3124714422226
2.0,1.2771551609039307,4.676467418670654,120.82885818004608,13.04,-0.42100000000000115,13.461,16.08,121.24985818004609,107.78885818004608
2.0,1.5313668251037598,4.7193403244018555,121.01972863864898,13.04,-0.42100000000000115,13.461,16.59,121.44072863864899,107.979728638649
2.0,1.786020040512085,4.679847240447998,120.68008044834137,13.06,-0.4009999999999998,13.461,17.1,121.08108044834137,107.62008044834137
2.0,2.0433526039123535,4.7199811935424805,120.93783199474335,13.07,-0.391,13.461,17.62,121.32883199474335,107.86783199474334
2.0,2.2998428344726562,4.719667434692383,121.08887469580841,13.08,-0.3810000000000002,13.461,18.13,121.46987469580841,108.00887469580842
2.0,2.5560667514801025,4.715243816375732,121.12862870580597,13.09,-0.37100000000000044,13.461,18.64,121.49962870580596,108.03862870580596
2.0,2.812192916870117,4.681692600250244,120.76664212636139,13.1,-0.36100000000000065,13.461,19.15,121.1276421263614,107.6666421263614
2.0,3.0718228816986084,4.6809186935424805,120.54055025155536,13.11,-0.35100000000000087,13.461,19.69,120.89155025155536,107.43055025155536
2.0,3.324211359024048,4.680327415466309,120.39809542879576,13.11,-0.35100000000000087,13.461,20.0,120.74909542879575,107.28809542879576
2.0,3.5761234760284424,4.7222795486450195,120.79507206669517,13.12,-0.3410000000000011,13.461,20.0,121.13607206669516,107.67507206669517
2.0,3.8346168994903564,4.6777191162109375,120.52081307644288,13.13,-0.3309999999999995,13.461,20.0,120.85181307644288,107.39081307644288
2.0,4.0911266803741455,4.685859680175781,120.4498741678872,13.14,-0.32099999999999973,13.461,20.0,120.7708741678872,107.3098741678872
2.0,4.344990968704224,4.719637870788574,120.79576001480092,13.15,-0.31099999999999994,13.461,20.0,121.10676001480093,107.64576001480091
2.0,4.601063251495361,4.681064128875732,120.55969349095147,13.16,-0.30100000000000016,13.461,20.0,120.86069349095148,107.39969349095148
2.0,4.854912281036377,4.719494819641113,120.86000652044369,13.16,-0.30100000000000016,13.461,20.0,121.16100652044369,107.7000065204437
2.0,5.1134138107299805,4.682818412780762,120.61841565924497,13.17,-0.29100000000000037,13.461,20.0,120.90941565924497,107.44841565924497
2.0,5.367241144180298,4.684159755706787,120.48888658617503,13.18,-0.2810000000000006,13.461,20.0,120.76988658617503,107.30888658617502
2.0,5.6250293254852295,4.680392742156982,120.36784848651031,13.19,-0.2710000000000008,13.461,20.0,120.63884848651031,107.17784848651031
2.0,5.878212213516235,4.681983947753906,120.31352449107611,13.19,-0.2710000000000008,13.461,20.0,120.58452449107611,107.12352449107611
2.0,6.135125160217285,4.717965602874756,120.69471912770535,13.2,-0.261000000000001,13.461,20.0,120.95571912770535,107.49471912770535
2.0,6.3932061195373535,4.72068977355957,120.95476387255827,13.21,-0.25099999999999945,13.461,20.0,121.20576387255828,107.74476387255828
2.0,6.645749807357788,4.6799445152282715,120.64222024866008,13.21,-0.25099999999999945,13.461,20.0,120.89322024866009,107.43222024866009
2.0,6.899616956710815,4.681025981903076,120.46713094108142,13.22,-0.24099999999999966,13.461,20.0,120.70813094108142,107.24713094108142
2.0,7.155300617218018,4.680439472198486,120.35533249493145,13.23,-0.23099999999999987,13.461,20.0,120.58633249493144,107.12533249493144
2.0,7.412811756134033,4.68284273147583,120.31589090893091,13.23,-0.23099999999999987,13.461,20.0,120.5468909089309,107.0858909089309
2.0,7.665724992752075,4.683190822601318,120.2962290052737,13.24,-0.22100000000000009,13.461,20.0,120.5172290052737,107.0562290052737
2.0,7.924278497695923,4.680284023284912,120.2510036709407,13.24,-0.22100000000000009,13.461,20.0,120.47200367094071,107.01100367094071
2.0,8.178448915481567,4.68056058883667,120.22704897418612,13.25,-0.2110000000000003,13.461,20.0,120.43804897418612,106.97704897418612
2.0,8.436774015426636,4.679643630981445,120.20213114079829,13.26,-0.2010000000000005,13.461,20.0,120.40313114079828,106.94213114079828
2.0,8.690218687057495,4.680095195770264,120.192373435837,13.26,-0.2010000000000005,13.461,20.0,120.39337343583699,106.932373435837
2.0,8.946940898895264,4.677292346954346,120.15428605147717,13.26,-0.2010000000000005,13.461,20.0,120.35528605147718,106.89428605147717
