kind,param,noise_std_psi,response_time_s
median,0.5,0.00368504183480585,0.0
moving_average,0.5,0.5414226484855229,0.011297999997623265
moving_average,0.1,0.2042612416772639,0.15436373999109493
exponential,0.3,0.005513091643422373,0.3002271499863127
exponential,0.5,0.0075982844974443915,0.3002271499863127
exponential,0.1,0.0027814459891643438,1.0369528199895286
moving_average,0.02,0.014034074560965289,1.1725713999912841
median,0.02,0.014034074560965289,1.1725713999912841
moving_average,0.05,0.014034074560965289,1.1725713999912841
median,0.05,0.014034074560965289,1.1725713999912841
median,0.1,0.009505609791719131,1.6329715800005942
median,0.2,0.0070190185293855815,1.8004997999989427
exponential,0.2,0.004312457287384339,2.5408838999923318
exponential,0.05,0.001876191752342374,2.6304894399945624
moving_average,0.2,0.3270790642176258,5.1986155799939295
