timestamp,transducer_voltage,transducer_pressure_psi,transducer_pressure_torr,alicat_pressure_raw,alicat_units,alicat_setpoint,alicat_gauge,alicat_baro,offset_torr
460806.2598294,0.9868725538253784,13.99758592247963,723.8851559810341,13.73,PSI,19.6,0.0,13.73,13.838205981034093
460806.2888354,0.9865627288818359,13.988678455352783,723.4245063185692,13.73,PSI,19.6,0.0,13.73,13.37755631856919
460806.309581,0.9866108894348145,13.990063071250916,723.4961117297412,13.73,PSI,19.6,0.0,13.73,13.44916172974115
460806.3328729,0.9865479469299316,13.988253474235535,723.4025284200907,13.73,PSI,19.6,0.0,13.73,13.355578420090637
460806.3536123,0.9869157671928406,13.998828306794167,723.9494058858604,13.73,PSI,19.6,0.0,13.73,13.902455885860377
460806.3736508,0.9865368604660034,13.987934738397598,723.3860449962318,13.73,PSI,19.03,0.0,13.73,13.339094996231779
460806.4159042,0.9870330095291138,14.00219902396202,724.123722524196,13.73,PSI,19.03,0.0,13.73,14.076772524195917
460806.4362614,0.9867343306541443,13.993612006306648,723.6796449061484,13.73,PSI,19.03,0.0,13.73,13.632694906148345
460806.4563415,0.9864751100540161,13.986159414052963,723.294234097749,13.73,PSI,19.03,0.0,13.73,13.247284097749002
460806.4769892,0.987437903881073,14.013839736580849,724.7257219772787,13.73,PSI,18.51,0.0,13.73,14.678771977278643
460806.5129726,0.9869429469108582,13.999609723687172,723.9898168604822,13.73,PSI,18.51,0.0,13.73,13.942866860482127
460806.5337604,0.9861751794815063,13.977536410093307,722.8482954479755,13.73,PSI,18.51,0.0,13.73,12.80134544797545
460806.5540082,0.9871601462364197,14.005854204297066,724.3127501752228,13.73,PSI,18.51,0.0,13.73,14.265800175222807
460806.5743901,0.9864738583564758,13.98612342774868,723.2923730660231,13.73,PSI,18.51,0.0,13.73,13.245423066023022
460806.5949882,0.986492395401001,13.986656367778778,723.3199340596796,13.73,PSI,17.93,0.0,13.73,13.272984059679516
460806.6246657,0.9864652752876282,13.98587666451931,723.2796117056162,13.73,PSI,17.93,0.0,13.73,13.232661705616124
460806.6450648,0.9863134026527405,13.981510326266289,723.0538065228611,13.73,PSI,17.93,0.0,13.73,13.006856522861085
460806.6654878,0.9867071509361267,13.992830589413643,723.6392339315266,13.73,PSI,17.93,0.0,13.73,13.592283931526595
460806.6858382,0.9870564937591553,14.002874195575714,724.1586390241981,13.73,PSI,17.93,0.0,13.73,14.111689024198085
460806.706331,0.98664790391922,13.991127237677574,723.5511450964958,13.73,PSI,17.36,0.0,13.73,13.504195096495778
460806.7379196,0.9865429997444153,13.98811124265194,723.3951729137451,13.73,PSI,17.36,0.0,13.73,13.348222913745076
460806.758151,0.986422061920166,13.984634280204773,723.2153618007899,13.73,PSI,17.36,0.0,13.73,13.16841180078984
460806.7785342,0.9870021939277649,14.00131307542324,724.077905695513,13.73,PSI,17.36,0.0,13.73,14.030955695512944
460806.7988358,0.9868170022964478,13.995988816022873,723.8025616206229,13.73,PSI,17.36,0.0,13.73,13.755611620622858
460806.8189919,0.9871984124183655,14.006954357028008,724.3696445737035,13.73,PSI,16.8,0.0,13.73,14.322694573703416
460806.8486171,0.9871540069580078,14.005677700042725,724.3036222577095,13.73,PSI,16.8,0.0,13.73,14.25667225770951
460806.8690244,0.9865788221359253,13.989141136407852,723.4484338693321,13.73,PSI,16.8,0.0,13.73,13.401483869332083
460806.8894807,0.986312210559845,13.981476053595543,723.0520341116935,13.73,PSI,16.8,0.0,13.73,13.005084111693463
460806.9096546,0.9868491291999817,13.996912464499474,723.8503281015903,13.73,PSI,16.8,0.0,13.73,13.803378101590283
460806.9307679,0.9869330525398254,13.999325260519981,723.9751058477909,13.73,PSI,16.25,0.0,13.73,13.92815584779089
460806.9604045,0.9869157671928406,13.998828306794167,723.9494058858604,13.73,PSI,16.25,0.0,13.73,13.902455885860377
460806.9807202,0.9869614243507385,14.000140950083733,724.0172892335803,13.73,PSI,16.25,0.0,13.73,13.970339233580262
460807.0007485,0.9866454601287842,13.991056978702545,723.5475116536022,13.73,PSI,16.25,0.0,13.73,13.500561653602176
460807.0209975,0.9866467118263245,13.991092965006828,723.5493726853282,13.73,PSI,16.25,0.0,13.73,13.502422685328156
460807.0417425,0.9868318438529968,13.996415510773659,723.8246281396598,13.73,PSI,15.69,0.0,13.73,13.77767813965977
460807.0723212,0.986818253993988,13.996024802327156,723.8044226523489,13.73,PSI,15.69,0.0,13.73,13.757472652348838
460807.0926132,0.9863788485527039,13.983391895890236,723.1511118959636,13.73,PSI,15.69,0.0,13.73,13.104161895963557
460807.1129135,0.9861937165260315,13.978069350123405,722.875856441632,13.73,PSI,15.69,0.0,13.73,12.828906441631943
460807.1335188,0.986075222492218,13.974662646651268,722.6996787715703,13.73,PSI,15.69,0.0,13.73,12.65272877157031
460807.1544031,0.9869787096977234,14.000637903809547,724.0429891955108,13.73,PSI,15.13,0.0,13.73,13.996039195510775
460807.185181,0.986793577671051,13.995315358042717,723.7677337411792,13.73,PSI,15.13,0.0,13.73,13.720783741179162
460807.2054625,0.9867960214614868,13.995385617017746,723.7713671840728,13.73,PSI,15.13,0.0,13.73,13.724417184072763
460807.225653,0.9867725968360901,13.99471215903759,723.736539304629,13.73,PSI,15.13,0.0,13.73,13.689589304628953
460807.2469304,0.9865455031394958,13.988183215260506,723.3988949771971,13.73,PSI,15.13,0.0,13.73,13.351944977197036
460807.2671252,0.9862664937973022,13.98016169667244,722.9840621434153,13.73,PSI,14.57,0.0,13.73,12.93711214341522
460807.2961858,0.9868984818458557,13.998331353068352,723.9237059239299,13.73,PSI,14.57,0.0,13.73,13.876755923929863
460807.3167699,0.9869306087493896,13.999255001544952,723.9714724048972,13.73,PSI,14.57,0.0,13.73,13.924522404897175
460807.3402118,0.9864134192466736,13.984385803341866,723.2025118198246,13.73,PSI,14.57,0.0,13.73,13.155561819824584
460807.3621408,0.9862455129623413,13.979558497667313,722.9528677068652,13.73,PSI,14.57,0.0,13.73,12.905917706865125
460807.3828009,0.9870515465736389,14.002731963992119,724.1512835178524,13.73,PSI,13.97,0.0,13.73,14.10433351785241
460807.4231271,0.9867194890975952,13.993185311555862,723.6575783871115,13.73,PSI,13.97,0.0,13.73,13.610628387111433
460807.4478669,0.9863751530647278,13.983285650610924,723.145617421344,13.73,PSI,13.97,0.0,13.73,13.098667421343976
460807.468019,0.986839234828949,13.996628001332283,723.8356170888991,13.73,PSI,13.97,0.0,13.73,13.788667088899047
460807.4882168,0.9864899516105652,13.986586108803749,723.316300616786,13.73,PSI,13.73,0.0,13.73,13.269350616785914
460807.5198085,0.9858666062355042,13.968664929270744,722.3895068172366,13.73,PSI,13.73,0.0,13.73,12.342556817236527
460807.5403105,0.9871823787689209,14.006493389606476,724.3458056434989,13.73,PSI,13.73,0.0,13.73,14.298855643498882
460807.5604726,0.9869083762168884,13.998615816235542,723.9384169366211,13.73,PSI,13.73,0.0,13.73,13.8914669366211
460807.5809387,0.9870379567146301,14.002341255545616,724.1310780305416,13.73,PSI,13.73,0.0,13.73,14.084128030541592
460807.6019049,0.9865133762359619,13.987259566783905,723.3511284962296,13.73,PSI,13.73,0.0,13.73,13.30417849622961
460807.6318847,0.9862788915634155,13.980518132448196,723.0024952195586,13.73,PSI,13.73,0.0,13.73,12.95554521955853
460807.6523772,0.9872897863388062,14.009581357240677,724.5054998897017,13.73,PSI,13.73,0.0,13.73,14.458549889701658
460807.6728688,0.9869182705879211,13.998900279402733,723.9531279493124,13.73,PSI,13.73,0.0,13.73,13.906177949312337
460807.6938622,0.9866565465927124,13.991375714540482,723.5639950774611,13.73,PSI,13.73,0.0,13.73,13.517045077461034
460807.713936,0.98668372631073,13.992157131433487,723.6044060520828,13.73,PSI,13.73,0.0,13.73,13.557456052082784
460807.7585209,0.9869824051856995,14.00074414908886,724.0484836701304,13.73,PSI,13.73,0.0,13.73,14.001533670130357
460807.7806206,0.987523078918457,14.01628851890564,724.8523607552052,13.73,PSI,13.73,0.0,13.73,14.805410755205116
460807.8030472,0.9866861701011658,13.992227390408516,723.6080394949764,13.73,PSI,13.73,0.0,13.73,13.561089494976386
460807.8231605,0.9864307045936584,13.98488275706768,723.2282117817551,13.73,PSI,13.73,0.0,13.73,13.181261781755097
460807.8557615,0.9861443042755127,13.97664874792099,722.802389998734,13.73,PSI,13.73,0.0,13.73,12.755439998734005
460807.8762994,0.9868170022964478,13.995988816022873,723.8025616206229,13.73,PSI,13.73,0.0,13.73,13.755611620622858
460807.8972723,0.9861937165260315,13.978069350123405,722.875856441632,13.73,PSI,13.73,0.0,13.73,12.828906441631943
460807.9178028,0.9861541986465454,13.97693321108818,722.8171010114253,13.73,PSI,13.73,0.0,13.73,12.770151011425241
460807.9380832,0.9871354699134827,14.005144760012627,724.276061264053,13.73,PSI,13.73,0.0,13.73,14.229111264053017
460807.9676734,0.9869564771652222,13.999998718500137,724.0099337272346,13.73,PSI,13.73,0.0,13.73,13.962983727234587
460807.9878571,0.9860196709632874,13.973065540194511,722.6170844111592,13.73,PSI,13.73,0.0,13.73,12.570134411159188
460808.008048,0.9865331053733826,13.987826779484749,723.3804619010539,13.73,PSI,13.73,0.0,13.73,13.33351190105384
460808.028536,0.9866392612457275,13.990878760814667,723.5382951155306,13.73,PSI,13.73,0.0,13.73,13.491345115530521
460808.0490556,0.9867663979530334,13.994533941149712,723.7273227665573,13.73,PSI,13.73,0.0,13.73,13.680372766557298
460808.0794259,0.9865812659263611,13.989211395382881,723.4520673122257,13.73,PSI,13.73,0.0,13.73,13.405117312225684
460808.0996239,0.9865245223045349,13.987580016255379,723.367700540647,13.73,PSI,13.73,0.0,13.73,13.32075054064694
460808.1198421,0.9862430691719055,13.979488238692284,722.9492342639714,13.73,PSI,13.73,0.0,13.73,12.90228426397141
460808.1400385,0.9870194792747498,14.001810029149055,724.1036056574435,13.73,PSI,13.73,0.0,13.73,14.056655657443457
460808.1603418,0.9868219494819641,13.996131047606468,723.8099171269686,13.73,PSI,13.73,0.0,13.73,13.762967126968533
460808.1909778,0.9866763353347778,13.991944640874863,723.5934171028435,13.73,PSI,13.73,0.0,13.73,13.546467102843508
460808.2114278,0.9864738583564758,13.98612342774868,723.2923730660231,13.73,PSI,13.73,0.0,13.73,13.245423066023022
460808.2320744,0.9861319661140442,13.97629402577877,722.7840455431492,13.73,PSI,13.73,0.0,13.73,12.737095543149167
460808.2523289,0.9871700406074524,14.006138667464256,724.3274611879141,13.73,PSI,13.73,0.0,13.73,14.280511187914044
460808.2726931,0.9867762923240662,13.994818404316902,723.7420337792487,13.73,PSI,13.73,0.0,13.73,13.695083779248648
460808.3034695,0.9866614937782288,13.991517946124077,723.5713505838066,13.73,PSI,13.73,0.0,13.73,13.524400583806596
460808.3240266,0.9862949252128601,13.980979099869728,723.026334149763,13.73,PSI,13.73,0.0,13.73,12.97938414976295
460808.3465102,0.9865713715553284,13.98892693221569,723.4373562995345,13.73,PSI,13.73,0.0,13.73,13.390406299534447
460808.3665847,0.9866738319396973,13.991872668266296,723.5896950393916,13.73,PSI,13.73,0.0,13.73,13.542745039391548
460808.3869556,0.9862233400344849,13.97892102599144,722.9199008591473,13.73,PSI,13.73,0.0,13.73,12.872950859147295
460808.4158308,0.9866812229156494,13.99208515882492,723.6006839886309,13.73,PSI,13.73,0.0,13.73,13.553733988630825
460808.4363806,0.9867713451385498,13.994676172733307,723.734678272903,13.73,PSI,13.73,0.0,13.73,13.687728272902973
460808.4569985,0.9866294264793396,13.990596011281013,723.5236727233977,13.73,PSI,13.73,0.0,13.73,13.476722723397643
460808.4772686,0.9865812659263611,13.989211395382881,723.4520673122257,13.73,PSI,13.73,0.0,13.73,13.405117312225684
460808.4978428,0.9863775968551636,13.983355909585953,723.1492508642376,13.73,PSI,13.73,0.0,13.73,13.102300864237577
460808.5272783,0.9863948822021484,13.983852863311768,723.1749508261681,13.73,PSI,13.73,0.0,13.73,13.12800082616809
460808.5480797,0.9865726232528687,13.988962918519974,723.4392173312605,13.73,PSI,13.73,0.0,13.73,13.392267331260427
460808.5682408,0.9868034720420837,13.995599821209908,723.7824447538704,13.73,PSI,13.73,0.0,13.73,13.735494753870398
460808.5883235,0.9868824481964111,13.99787038564682,723.8998669937254,13.73,PSI,13.73,0.0,13.73,13.85291699372533
460808.6091352,0.9862418174743652,13.979452252388,722.9473732322455,13.73,PSI,13.73,0.0,13.73,12.90042323224543
460808.6393341,0.9867738485336304,13.994748145341873,723.738400336355,13.73,PSI,13.73,0.0,13.73,13.691450336354933
460808.6599615,0.9876230359077454,14.01916228234768,725.0009774316103,13.73,PSI,13.73,0.0,13.73,14.954027431610257
460808.6804339,0.9866775274276733,13.991978913545609,723.5951895140112,13.73,PSI,13.73,0.0,13.73,13.54823951401113
460808.700932,0.986160397529602,13.977111428976059,722.8263175494969,13.73,PSI,13.73,0.0,13.73,12.779367549496897
460808.7211045,0.986733078956604,13.993576020002365,723.6777838744224,13.73,PSI,13.73,0.0,13.73,13.630833874422365
460808.7507789,0.9867503643035889,13.99407297372818,723.7034838363529,13.73,PSI,13.73,0.0,13.73,13.656533836352878
460808.7710451,0.9866454601287842,13.991056978702545,723.5475116536022,13.73,PSI,13.73,0.0,13.73,13.500561653602176
460808.7915612,0.9865713715553284,13.98892693221569,723.4373562995345,13.73,PSI,13.73,0.0,13.73,13.390406299534447
460808.8118972,0.9865837693214417,13.989283367991447,723.4557893756778,13.73,PSI,13.73,0.0,13.73,13.408839375677758
460808.8319303,0.9865294098854065,13.987720534205437,723.3749674264342,13.73,PSI,13.73,0.0,13.73,13.328017426434144
460808.8660367,0.986757755279541,13.994285464286804,723.7144727855921,13.73,PSI,13.73,0.0,13.73,13.667522785592041
460808.886404,0.9865380525588989,13.987969011068344,723.3878174073994,13.73,PSI,13.73,0.0,13.73,13.3408674073994
